main_activity,clustered,tilt_subsector
distributor,sawings,Iron & Steel
service provider,machine tools for bending sheet metal in large runs,Iron & Steel
missing,gold articles,Other Metals
retailer,gold articles,Other Metals
missing,silver articles,Other Metals
retailer,silver articles,Other Metals
manufacturer/ producer,costume jewellery - production,Other Metals
manufacturer/ producer,chroming plating,Iron & Steel
subcontractor,chroming plating,Iron & Steel
subcontractor,steel trading,Iron & Steel
missing,steel trading,Iron & Steel
multi-category,steel trading,Iron & Steel
agent/ representative,steel trading,Iron & Steel
service provider,stainless steel structural shapes,Iron & Steel
manufacturer/ producer,lacquering,Iron & Steel
manufacturer/ producer,paper finishing systems,Machinery & Equipment
manufacturer/ producer,paper treatment system,Machinery & Equipment
manufacturer/ producer,cardboard finishing system,Machinery & Equipment
manufacturer/ producer,cardboard treatment system,Machinery & Equipment
manufacturer/ producer,paper finishing machinery,Machinery & Equipment
manufacturer/ producer,paper treatment machinery,Machinery & Equipment
manufacturer/ producer,cardboard finishing machinery,Machinery & Equipment
manufacturer/ producer,cardboard treatment machinery,Machinery & Equipment
manufacturer/ producer,paper finishing equipment,Machinery & Equipment
manufacturer/ producer,paper treatment equipment,Machinery & Equipment
manufacturer/ producer,cardboard finishing equipment,Machinery & Equipment
manufacturer/ producer,cardboard treatment equipment,Machinery & Equipment
manufacturer/ producer,paper roll,Other Industry
retailer,paper roll,Other Industry
distributor,iron industry machinery,Iron & Steel
agent/ representative,iron industry machinery,Shipping
distributor,iron industry installations,Iron & Steel
agent/ representative,iron industry installations,Shipping
distributor,iron foundries machinery,Iron & Steel
agent/ representative,iron foundries machinery,Shipping
distributor,iron foundries installations,Iron & Steel
agent/ representative,iron foundries installations,Shipping
distributor,steel industry machinery,Iron & Steel
agent/ representative,steel industry machinery,Shipping
distributor,steel industry installations,Iron & Steel
agent/ representative,steel industry installations,Shipping
distributor,steel foundries machinery,Iron & Steel
agent/ representative,steel foundries machinery,Shipping
distributor,steel foundries installations,Iron & Steel
agent/ representative,steel foundries installations,Shipping
distributor,old jewellery,Other Metals
service provider,steel for tools,Iron & Steel
missing,steel for tools,Iron & Steel
agent/ representative,steel for tools,Iron & Steel
retailer,steel for tools,Iron & Steel
service provider,sharpening,Iron & Steel
service provider,saws - sharpening,Iron & Steel
service provider,microsandblasting,Iron & Steel
manufacturer/ producer,cryogenic cleaning,Machinery & Equipment
service provider,drilling - machine tools,Iron & Steel
subcontractor,drilling - machine tools,Iron & Steel
service provider,high precision polishing,Iron & Steel
service provider,frame polishing,Iron & Steel
service provider,metal buffing,Iron & Steel
service provider,silver polishing,Iron & Steel
manufacturer/ producer,wall-coverings applied,Other Industry
service provider,test bench,Iron & Steel
service provider,machine parts,Iron & Steel
missing,polishing of furniture,Fishing & Forestry
subcontractor,polishing of furniture,Fishing & Forestry
missing,polishing of wood,Fishing & Forestry
subcontractor,polishing of wood,Fishing & Forestry
missing,furniture lacquering,Fishing & Forestry
subcontractor,furniture lacquering,Fishing & Forestry
missing,wood lacquering,Fishing & Forestry
subcontractor,wood lacquering,Fishing & Forestry
missing,varnishing of furniture,Fishing & Forestry
subcontractor,varnishing of furniture,Fishing & Forestry
missing,varnishing of wood,Fishing & Forestry
subcontractor,varnishing of wood,Fishing & Forestry
manufacturer/ producer,plastic lacquering,Fishing & Forestry
service provider,tools for working metals,Iron & Steel
service provider,wire welding,Iron & Steel
service provider,impact welding,Iron & Steel
service provider,microprobing,Iron & Steel
service provider,machining of iron profiles,Iron & Steel
multi-category,painting machinery,Iron & Steel
multi-category,painting equipment,Iron & Steel
distributor,printing - digital,Other Industry
missing,printing - digital,Other Industry
service provider,industrial engraving of rating plates,Iron & Steel
manufacturer/ producer,industrial engraving of rating plates,Iron & Steel
service provider,"frameworks, lightweight",Iron & Steel
multi-category,adjustment - machine tools,Iron & Steel
retailer,adjustment - machine tools,Machinery & Equipment
service provider,correction workshops,Iron & Steel
service provider,painting booths for vehicle bodywork,Iron & Steel
manufacturer/ producer,painting booths for vehicle bodywork,Automotive HDV
wholesaler,painting booths for vehicle bodywork,Machinery & Equipment
service provider,decorative wood,Iron & Steel
service provider,printing of rubber,Iron & Steel
service provider,printing of plastic,Iron & Steel
service provider,engraving of rubber,Iron & Steel
service provider,engraving of plastic,Iron & Steel
missing,fine panel work,Iron & Steel
subcontractor,fine panel work,Iron & Steel
service provider,"boilers, light-alloy",Iron & Steel
service provider,fine sheet metalwork subcontracting,Iron & Steel
subcontractor,"boilermaking, heavy",Other Industry
missing,marking machines,Iron & Steel
service provider,finished metal products,Iron & Steel
manufacturer/ producer,finished metal products,Other Metals
distributor,finished metal products,Iron & Steel
service provider,chemical nickel plating,Iron & Steel
manufacturer/ producer,chemical nickel plating,Iron & Steel
subcontractor,chemical nickel plating,Iron & Steel
service provider,encouraging business relationships,Iron & Steel
missing,prototype,Construction Residential
missing,general renovation work,Construction Buildings
agent/ representative,general renovation work,no_match
distributor,waterproofing,Construction Buildings
wholesaler,waterproofing,Construction Residential
missing,waterproofing,Construction Buildings
subcontractor,waterproofing,Construction Buildings
service provider,industrial engineering studies,Iron & Steel
service provider,designing machines,Iron & Steel
service provider,building machines,Iron & Steel
service provider,assembly for industrial applications,Iron & Steel
subcontractor,assembly for industrial applications,Iron & Steel
service provider,machining for industrial applications,Iron & Steel
subcontractor,machining for industrial applications,Iron & Steel
service provider,metal stamping,Iron & Steel
distributor,metal stamping,Iron & Steel
wholesaler,metal stamping,Iron & Steel
subcontractor,metal stamping,Iron & Steel
agent/ representative,metal stamping,Iron & Steel
service provider,in-house maintenance workshop,Iron & Steel
service provider,rubber cutting operations,Iron & Steel
missing,rubber cutting operations,Iron & Steel
service provider,plastic cutting operations,Iron & Steel
missing,plastic cutting operations,Iron & Steel
service provider,serigraphy,Iron & Steel
service provider,metal enamelling,Iron & Steel
manufacturer/ producer,metal enamelling,Iron & Steel
service provider,thermal processing,Iron & Steel
service provider,plants for metal extrusion,Iron & Steel
service provider,machinery for metal extrusion,Iron & Steel
service provider,metal extrusion,Iron & Steel
service provider,industrial pipes,Iron & Steel
subcontractor,subcontracting welding,Iron & Steel
service provider,rust protection coverings,Iron & Steel
service provider,applications for the pharmaceutical industry,Iron & Steel
missing,machining of parts,Iron & Steel
subcontractor,machining of parts,Iron & Steel
subcontractor,sheet metal cutting,Other Metals
agent/ representative,ship maintenance,Shipping
service provider,"cast iron, special grade",Iron & Steel
wholesaler,lead,Iron & Steel
missing,lead,Iron & Steel
distributor,lead alloys,Other Metals
wholesaler,lead alloys,Iron & Steel
missing,lead alloys,Iron & Steel
service provider,metal reinforcement meshing for buildings,Iron & Steel
missing,metal reinforcement meshing for buildings,Iron & Steel
service provider,steel beams,Iron & Steel
distributor,steel beams,Iron & Steel
service provider,industrial shelving fitted,Iron & Steel
service provider,tuning,Iron & Steel
missing,tuning,Automotive HDV
service provider,disk sander hire,Iron & Steel
service provider,chromotherapy,Iron & Steel
service provider,electronic display in lcd for outside,Iron & Steel
service provider,led technology for outside,Iron & Steel
service provider,arbours,Iron & Steel
multi-category,arbours,Machinery & Equipment
service provider,mechanical construction,Iron & Steel
multi-category,mechanical construction,Iron & Steel
service provider,ultrasonic cleaner,Iron & Steel
subcontractor,water jet cutting,Iron & Steel
service provider,blanking,Iron & Steel
manufacturer/ producer,blanking,Iron & Steel
missing,blanking,Iron & Steel
service provider,cylindrical profile grinding,Iron & Steel
service provider,cnc round profile grinding,Iron & Steel
service provider,centerless grinding,Iron & Steel
service provider,"cylindrical grinding, centreless",Iron & Steel
service provider,grinding shops for bars,Iron & Steel
service provider,cnc cylindrical grinding,Iron & Steel
service provider,contracted metal grinding,Iron & Steel
wholesaler,hardening,Construction Buildings
service provider,quenching,Iron & Steel
wholesaler,tempering,Construction Buildings
service provider,case hardening,Iron & Steel
manufacturer/ producer,case hardening,Iron & Steel
service provider,marginalised layer hardening,Iron & Steel
service provider,inductive hardening,Iron & Steel
service provider,flame hardening,Iron & Steel
service provider,circumferential hardening,Iron & Steel
service provider,individual tooth hardening,Iron & Steel
service provider,carburization,Iron & Steel
multi-category,"vehicles, repair shops",Construction Residential
retailer,medicine apparatus,no_match
retailer,medicine equipment,no_match
retailer,surgery apparatus,no_match
retailer,surgery equipment,no_match
service provider,personnel screening,Iron & Steel
manufacturer/ producer,personnel screening,Other Transport
multi-category,warehouse,Other Transport
agent/ representative,warehouse,Other Transport
multi-category,bonded warehouses,Other Transport
agent/ representative,bonded warehouses,Other Transport
retailer,machinery,Agriculture & Livestock
distributor,warehouse cold storage,Other Transport
missing,gate,Construction Residential
multi-category,gate,Construction Residential
service provider,"precision engineering hand tools, non-power",Iron & Steel
distributor,"precision engineering hand tools, non-power",Automotive LDV
missing,"precision engineering hand tools, non-power",Iron & Steel
wholesaler,coating resins,Construction Buildings
missing,coating resins,Construction Residential
service provider,anti abrasion steels,Iron & Steel
service provider,spreading machines,Iron & Steel
manufacturer/ producer,spreading machines,Agriculture & Livestock
missing,traffic signs,Other Transport
wholesaler,industrial consultants,Other Transport
multi-category,industrial consultants,Other Transport
agent/ representative,"tractors, agricultural",Other Transport
